ゴミ分類区分,地区名,地区名(英語),収集曜日,祝日の収集,特別に収集する日,特別に収集しない日,適用開始日,適用終了日,標準地域コード
資源,西品川2丁目,"",水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西品川3丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西品川3丁目,"",第2木・第4木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西品川3丁目,"",水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東大井1丁目,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東大井1丁目,"",第1金・第3金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東大井1丁目,"",木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東大井2丁目,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東大井2丁目,"",第1金・第3金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東大井2丁目,"",木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東大井3丁目,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東大井3丁目,"",第1金・第3金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東大井3丁目,"",木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東大井4丁目,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東大井4丁目,"",第1金・第3金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東大井4丁目,"",木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東大井5丁目1～10番,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東大井5丁目1～10番,"",第2金・第4金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東大井5丁目1～10番,"",木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東大井5丁目1～10番以外,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東大井5丁目1～10番以外,"",第1金・第3金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東大井5丁目1～10番以外,"",木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東大井6丁目1～16番,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東大井6丁目1～16番,"",第1金・第3金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東大井6丁目1～16番,"",木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東大井6丁目17番,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東大井6丁目17番,"",第1月・第3月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東大井6丁目17番,"",土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東五反田1丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東五反田1丁目,"",第1土・第3土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東五反田1丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東五反田2丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東五反田2丁目,"",第1土・第3土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東五反田2丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東五反田3丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
